Ticker,Company,Sector_Id
MMM,3M,S001
AOS,A. O. Smith,S001
ABT,Abbott,S002
ABBV,AbbVie,S002
ACN,Accenture,S003
ATVI,Activision Blizzard,S004
ADM,ADM,S005
ADBE,Adobe Inc.,S003
ADP,ADP,S001
AAP,Advance Auto Parts,S006
AES,AES Corporation,S007
AFL,Aflac,S008
A,Agilent Technologies,S002
APD,Air Products and Chemicals,S009
AKAM,Akamai,S003
ALK,Alaska Air Group,S001
ALB,Albemarle Corporation,S009
ARE,Alexandria Real Estate Equities,S010
ALGN,Align Technology,S002
ALLE,Allegion,S001
LNT,Alliant Energy,S007
ALL,Allstate,S008
GOOGL,Alphabet Inc. (Class A),S004
GOOG,Alphabet Inc. (Class C),S004
MO,Altria,S005
AMZN,Amazon,S006
AMCR,Amcor,S009
AMD,AMD,S003
AEE,Ameren,S007
AAL,American Airlines Group,S001
AEP,American Electric Power,S007
AXP,American Express,S008
AIG,American International Group,S008
AMT,American Tower,S010
AWK,American Water Works,S007
AMP,Ameriprise Financial,S008
ABC,AmerisourceBergen,S002
AME,Ametek,S001
AMGN,Amgen,S002
APH,Amphenol,S003
ADI,Analog Devices,S003
ANSS,Ansys,S003
AON,Aon,S008
APA,APA Corporation,S011
AAPL,Apple Inc.,S003
AMAT,Applied Materials,S003
APTV,Aptiv,S006
ACGL,Arch Capital Group,S008
ANET,Arista Networks,S003
AJG,Arthur J. Gallagher & Co.,S008
AIZ,Assurant,S008
T,AT&T,S004
ATO,Atmos Energy,S007
ADSK,Autodesk,S003
AZO,AutoZone,S006
AVB,AvalonBay Communities,S010
AVY,Avery Dennison,S009
AXON,Axon Enterprise,S001
BKR,Baker Hughes,S011
BALL,Ball Corporation,S009
BAC,Bank of America,S008
BBWI,"Bath & Body Works, Inc.",S006
BAX,Baxter International,S002
BDX,Becton Dickinson,S002
WRB,Berkley,S008
BRK.B,Berkshire Hathaway,S008
BBY,Best Buy,S006
BIO,Bio-Rad,S002
TECH,Bio-Techne,S002
BIIB,Biogen,S002
BLK,BlackRock,S008
BK,BNY Mellon,S008
BA,Boeing,S001
BKNG,Booking Holdings,S006
BWA,BorgWarner,S006
BXP,Boston Properties,S010
BSX,Boston Scientific,S002
BMY,Bristol Myers Squibb,S002
AVGO,Broadcom Inc.,S003
BR,Broadridge Financial Solutions,S001
BRO,Brown & Brown,S008
BF.B,Brown–Forman,S005
BG,Bunge Limited,S005
CHRW,C.H. Robinson,S001
CDNS,Cadence Design Systems,S003
CZR,Caesars Entertainment,S006
CPT,Camden Property Trust,S010
CPB,Campbell Soup Company,S005
COF,Capital One,S008
CAH,Cardinal Health,S002
KMX,CarMax,S006
CCL,Carnival,S006
CARR,Carrier Global,S001
CTLT,Catalent,S002
CAT,Caterpillar Inc.,S001
CBOE,Cboe Global Markets,S008
CBRE,CBRE Group,S010
CDW,CDW,S003
CE,Celanese,S009
CNC,Centene Corporation,S002
CNP,CenterPoint Energy,S007
CDAY,Ceridian,S003
CF,CF Industries,S009
CRL,Charles River Laboratories,S002
SCHW,Charles Schwab Corporation,S008
CHTR,Charter Communications,S004
CVX,Chevron Corporation,S011
CMG,Chipotle Mexican Grill,S006
CB,Chubb Limited,S008
CHD,Church & Dwight,S005
CI,Cigna,S002
CINF,Cincinnati Financial,S008
CTAS,Cintas,S001
CSCO,Cisco,S003
C,Citigroup,S008
CFG,Citizens Financial Group,S008
CLX,Clorox,S005
CME,CME Group,S008
CMS,CMS Energy,S007
KO,Coca-Cola Company (The),S005
CTSH,Cognizant,S003
CL,Colgate-Palmolive,S005
CMCSA,Comcast,S004
CMA,Comerica,S008
CAG,Conagra Brands,S005
COP,ConocoPhillips,S011
ED,Consolidated Edison,S007
STZ,Constellation Brands,S005
CEG,Constellation Energy,S007
COO,CooperCompanies,S002
CPRT,Copart,S001
GLW,Corning Inc.,S003
CTVA,Corteva,S009
CSGP,CoStar Group,S001
COST,Costco,S005
CTRA,Coterra,S011
CCI,Crown Castle,S010
CSX,CSX,S001
CMI,Cummins,S001
CVS,CVS Health,S002
DHI,D.R. Horton,S006
DHR,Danaher Corporation,S002
DRI,Darden Restaurants,S006
DVA,DaVita Inc.,S002
DE,John Deere,S001
DAL,Delta Air Lines,S001
XRAY,Dentsply Sirona,S002
DVN,Devon Energy,S011
DXCM,Dexcom,S002
FANG,Diamondback Energy,S011
DLR,Digital Realty,S010
DFS,Discover Financial,S008
DISH,Dish Network,S004
DIS,Disney,S004
DG,Dollar General,S005
DLTR,Dollar Tree,S005
D,Dominion Energy,S007
DPZ,Domino's,S006
DOV,Dover Corporation,S001
DOW,Dow Inc.,S009
DTE,DTE Energy,S007
DUK,Duke Energy,S007
DD,DuPont,S009
DXC,DXC Technology,S003
EMN,Eastman Chemical Company,S009
ETN,Eaton Corporation,S001
EBAY,eBay,S006
ECL,Ecolab,S009
EIX,Edison International,S007
EW,Edwards Lifesciences,S002
EA,Electronic Arts,S004
ELV,Elevance Health,S002
LLY,Eli Lilly and Company,S002
EMR,Emerson Electric,S001
ENPH,Enphase,S003
ETR,Entergy,S007
EOG,EOG Resources,S011
EPAM,EPAM Systems,S003
EQT,EQT,S011
EFX,Equifax,S001
EQIX,Equinix,S010
EQR,Equity Residential,S010
ESS,Essex Property Trust,S010
EL,Estée Lauder Companies (The),S005
ETSY,Etsy,S006
RE,Everest Re,S008
EVRG,Evergy,S007
ES,Eversource,S007
EXC,Exelon,S007
EXPE,Expedia Group,S006
EXPD,Expeditors International,S001
EXR,Extra Space Storage,S010
XOM,ExxonMobil,S011
FFIV,"F5, Inc.",S003
FDS,FactSet,S008
FICO,Fair Isaac,S003
FAST,Fastenal,S001
FRT,Federal Realty,S010
FDX,FedEx,S001
FITB,Fifth Third Bank,S008
FSLR,First Solar,S003
FE,FirstEnergy,S007
FIS,FIS,S008
FISV,Fiserv,S008
FLT,Fleetcor,S008
FMC,FMC Corporation,S009
F,Ford Motor Company,S006
FTNT,Fortinet,S003
FTV,Fortive,S001
FOXA,Fox Corporation (Class A),S004
FOX,Fox Corporation (Class B),S004
BEN,Franklin Templeton,S008
FCX,Freeport-McMoRan,S009
GRMN,Garmin,S006
IT,Gartner,S003
GEHC,GE HealthCare,S002
GEN,Gen Digital,S003
GNRC,Generac,S001
GD,General Dynamics,S001
GE,General Electric,S001
GIS,General Mills,S005
GM,General Motors,S006
GPC,Genuine Parts Company,S006
GILD,Gilead Sciences,S002
GL,Globe Life,S008
GPN,Global Payments,S008
GS,Goldman Sachs,S008
HAL,Halliburton,S011
HIG,Hartford (The),S008
HAS,Hasbro,S006
HCA,HCA Healthcare,S002
PEAK,Healthpeak,S010
HSIC,Henry Schein,S002
HSY,Hershey's,S005
HES,Hess Corporation,S011
HPE,Hewlett Packard Enterprise,S003
HLT,Hilton Worldwide,S006
HOLX,Hologic,S002
HD,Home Depot (The),S006
HON,Honeywell,S001
HRL,Hormel Foods,S005
HST,Host Hotels & Resorts,S010
HWM,Howmet Aerospace,S001
HPQ,HP Inc.,S003
HUM,Humana,S002
HBAN,Huntington Bancshares,S008
HII,Huntington Ingalls Industries,S001
IBM,IBM,S003
IEX,IDEX Corporation,S001
IDXX,Idexx Laboratories,S002
ITW,Illinois Tool Works,S001
ILMN,Illumina,S002
INCY,Incyte,S002
IR,Ingersoll Rand,S001
PODD,Insulet,S002
INTC,Intel,S003
ICE,Intercontinental Exchange,S008
IFF,International Flavors & Fragrances,S009
IP,International Paper,S009
IPG,Interpublic Group of Companies (The),S004
INTU,Intuit,S003
ISRG,Intuitive Surgical,S002
IVZ,Invesco,S008
INVH,Invitation Homes,S010
IQV,IQVIA,S002
IRM,Iron Mountain,S010
JBHT,J.B. Hunt,S001
JKHY,Jack Henry & Associates,S008
J,Jacobs Solutions,S001
JNJ,Johnson & Johnson,S002
JCI,Johnson Controls,S001
JPM,JPMorgan Chase,S008
JNPR,Juniper Networks,S003
K,Kellogg's,S005
KDP,Keurig Dr Pepper,S005
KEY,KeyCorp,S008
KEYS,Keysight,S003
KMB,Kimberly-Clark,S005
KIM,Kimco Realty,S010
KMI,Kinder Morgan,S011
KLAC,KLA Corporation,S003
KHC,Kraft Heinz,S005
KR,Kroger,S005
LHX,L3Harris,S001
LH,LabCorp,S002
LRCX,Lam Research,S003
LW,Lamb Weston,S005
LVS,Las Vegas Sands,S006
LDOS,Leidos,S001
LEN,Lennar,S006
LNC,Lincoln Financial,S008
LIN,Linde plc,S009
LYV,Live Nation Entertainment,S004
LKQ,LKQ Corporation,S006
LMT,Lockheed Martin,S001
L,Loews Corporation,S008
LOW,Lowe's,S006
LYB,LyondellBasell,S009
MTB,M&T Bank,S008
MRO,Marathon Oil,S011
MPC,Marathon Petroleum,S011
MKTX,MarketAxess,S008
MAR,Marriott International,S006
MMC,Marsh McLennan,S008
MLM,Martin Marietta Materials,S009
MAS,Masco,S001
MA,Mastercard,S008
MTCH,Match Group,S004
MKC,McCormick & Company,S005
MCD,McDonald's,S006
MCK,McKesson,S002
MDT,Medtronic,S002
MRK,Merck & Co.,S002
META,Meta Platforms,S004
MET,MetLife,S008
MTD,Mettler Toledo,S002
MGM,MGM Resorts,S006
MCHP,Microchip Technology,S003
MU,Micron Technology,S003
MSFT,Microsoft,S003
MAA,Mid-America Apartment Communities,S010
MRNA,Moderna,S002
MHK,Mohawk Industries,S006
MOH,Molina Healthcare,S002
TAP,Molson Coors Beverage Company,S005
MDLZ,Mondelez International,S005
MPWR,Monolithic Power Systems,S003
MNST,Monster Beverage,S005
MCO,Moody's Corporation,S008
MS,Morgan Stanley,S008
MOS,Mosaic Company (The),S009
MSI,Motorola Solutions,S003
MSCI,MSCI,S008
NDAQ,"Nasdaq, Inc.",S008
NTAP,NetApp,S003
NFLX,Netflix,S004
NWL,Newell Brands,S006
NEM,Newmont,S009
NWSA,News Corp (Class A),S004
NWS,News Corp (Class B),S004
NEE,NextEra Energy,S007
NKE,"Nike, Inc.",S006
NI,NiSource,S007
NDSN,Nordson Corporation,S001
NSC,Norfolk Southern Railway,S001
NTRS,Northern Trust,S008
NOC,Northrop Grumman,S001
NCLH,Norwegian Cruise Line Holdings,S006
NRG,NRG Energy,S007
NUE,Nucor,S009
NVDA,Nvidia,S003
NVR,"NVR, Inc.",S006
NXPI,NXP Semiconductors,S003
ORLY,O'Reilly Auto Parts,S006
OXY,Occidental Petroleum,S011
ODFL,Old Dominion,S001
OMC,Omnicom Group,S004
ON,ON Semiconductor,S003
OKE,ONEOK,S011
ORCL,Oracle Corporation,S003
OGN,Organon & Co.,S002
OTIS,Otis Worldwide,S001
PCAR,Paccar,S001
PKG,Packaging Corporation of America,S009
PARA,Paramount Global,S004
PH,Parker Hannifin,S001
PAYX,Paychex,S001
PAYC,Paycom,S003
PYPL,PayPal,S008
PNR,Pentair,S001
PEP,PepsiCo,S005
PKI,PerkinElmer,S002
PFE,Pfizer,S002
PCG,PG&E Corporation,S007
PM,Philip Morris International,S005
PSX,Phillips 66,S011
PNW,Pinnacle West,S007
PXD,Pioneer Natural Resources,S011
PNC,PNC Financial Services,S008
POOL,Pool Corporation,S006
PPG,PPG Industries,S009
PPL,PPL Corporation,S007
PFG,Principal Financial Group,S008
PG,Procter & Gamble,S005
PGR,Progressive Corporation,S008
PLD,Prologis,S010
PRU,Prudential Financial,S008
PEG,Public Service Enterprise Group,S007
PTC,PTC,S003
PSA,Public Storage,S010
PHM,PulteGroup,S006
QRVO,Qorvo,S003
PWR,Quanta Services,S001
QCOM,Qualcomm,S003
DGX,Quest Diagnostics,S002
RL,Ralph Lauren Corporation,S006
RJF,Raymond James,S008
RTX,Raytheon Technologies,S001
O,Realty Income,S010
REG,Regency Centers,S010
REGN,Regeneron,S002
RF,Regions Financial Corporation,S008
RSG,Republic Services,S001
RMD,ResMed,S002
RHI,Robert Half,S001
ROK,Rockwell Automation,S001
ROL,"Rollins, Inc.",S001
ROP,Roper Technologies,S003
ROST,Ross Stores,S006
RCL,Royal Caribbean Group,S006
SPGI,S&P Global,S008
CRM,Salesforce,S003
SBAC,SBA Communications,S010
SLB,Schlumberger,S011
STX,Seagate Technology,S003
SEE,Sealed Air,S009
SRE,Sempra Energy,S007
NOW,ServiceNow,S003
SHW,Sherwin-Williams,S009
SPG,Simon Property Group,S010
SWKS,Skyworks Solutions,S003
SJM,J.M. Smucker Company (The),S005
SNA,Snap-on,S001
SEDG,SolarEdge,S003
SO,Southern Company,S007
LUV,Southwest Airlines,S001
SWK,Stanley Black & Decker,S001
SBUX,Starbucks,S006
STT,State Street Corporation,S008
STLD,Steel Dynamics,S009
STE,Steris,S002
SYK,Stryker Corporation,S002
SYF,Synchrony Financial,S008
SNPS,Synopsys,S003
SYY,Sysco,S005
TMUS,T-Mobile US,S004
TROW,T. Rowe Price,S008
TTWO,Take-Two Interactive,S004
TPR,"Tapestry, Inc.",S006
TRGP,Targa Resources,S011
TGT,Target Corporation,S005
TEL,TE Connectivity,S003
TDY,Teledyne Technologies,S003
TFX,Teleflex,S002
TER,Teradyne,S003
TSLA,"Tesla, Inc.",S006
TXN,Texas Instruments,S003
TXT,Textron,S001
TMO,Thermo Fisher Scientific,S002
TJX,TJX Companies,S006
TSCO,Tractor Supply,S006
TT,Trane Technologies,S001
TDG,TransDigm Group,S001
TRV,Travelers Companies (The),S008
TRMB,Trimble Inc.,S003
TFC,Truist,S008
TYL,Tyler Technologies,S003
TSN,Tyson Foods,S005
USB,U.S. Bank,S008
UDR,"UDR, Inc.",S010
ULTA,Ulta Beauty,S006
UNP,Union Pacific Corporation,S001
UAL,United Airlines Holdings,S001
UPS,United Parcel Service,S001
URI,United Rentals,S001
UNH,UnitedHealth Group,S002
UHS,Universal Health Services,S002
VLO,Valero Energy,S011
VTR,Ventas,S010
VRSN,Verisign,S003
VRSK,Verisk,S001
VZ,Verizon,S004
VRTX,Vertex Pharmaceuticals,S002
VFC,VF Corporation,S006
VTRS,Viatris,S002
VICI,Vici Properties,S010
V,Visa Inc.,S008
VMC,Vulcan Materials Company,S009
WAB,Wabtec,S001
WBA,Walgreens Boots Alliance,S005
WMT,Walmart,S005
WBD,Warner Bros. Discovery,S004
WM,Waste Management,S001
WAT,Waters Corporation,S002
WEC,WEC Energy Group,S007
WFC,Wells Fargo,S008
WELL,Welltower,S010
WST,West Pharmaceutical Services,S002
WDC,Western Digital,S003
WRK,WestRock,S009
WY,Weyerhaeuser,S010
WHR,Whirlpool Corporation,S006
WMB,Williams Companies,S011
WTW,Willis Towers Watson,S008
GWW,W. W. Grainger,S001
WYNN,Wynn Resorts,S006
XEL,Xcel Energy,S007
XYL,Xylem Inc.,S001
YUM,Yum! Brands,S006
ZBRA,Zebra Technologies,S003
ZBH,Zimmer Biomet,S002
ZION,Zions Bancorporation,S008
ZTS,Zoetis,S002
